CustomerID,Age,Gender,City,AnnualIncome,SpendingScore,ProductCategory,Quantity,Price,Rating,DaysSinceLastPurchase,TotalSpend
CUST1000,40,Male,Delhi,73375.0,64.2,Electronics,5,4054.64,4.7,42,20273.2
CUST1001,33,Male,Gwalior,104209.0,1.0,Fashion,4,1412.95,5.0,8,5651.8
CUST1002,42,Female,Gwalior,90989.0,18.8,Home & Kitchen,3,1410.52,3.7,66,4231.56
CUST1003,53,Female,Delhi,68030.0,36.0,Fashion,4,1239.67,3.3,15,4958.68
CUST1004,32,Male,Indore,42597.0,93.2,Books,3,354.94,3.6,26,1064.82
CUST1005,32,Female,Bengaluru,63499.0,74.0,Home & Kitchen,3,2166.24,3.0,53,6498.72
CUST1006,53,Male,Bengaluru,65272.0,64.3,Electronics,3,9621.52,4.6,6,28864.56
CUST1007,44,Female,Delhi,64969.0,75.1,Books,3,257.91,5.0,46,773.73
CUST1008,29,Female,Lucknow,227826.04265247387,56.7,Toys,3,2000.95,3.3,27,6002.85
CUST1009,41,Female,Mumbai,61126.0,65.2,Electronics,2,25327.52,2.8,67,50655.04
CUST1010,29,Female,Gwalior,43218.0,71.0,Home & Kitchen,1,1570.61,4.8,6,1570.61
CUST1011,29,Female,Bengaluru,33695.0,96.1,Fashion,6,2824.44,4.2,16,16946.64
CUST1012,37,Male,Gwalior,77302.0,43.9,Grocery,6,511.4,4.2,54,3068.4
CUST1013,18,Female,Delhi,69312.0,45.4,Electronics,2,12636.4,5.0,1,25272.8
CUST1014,18,Male,Bengaluru,53159.0,75.0,Home & Kitchen,3,2437.52,2.7,4,7312.56
CUST1015,28,Female,Jaipur,44487.0,88.0,Toys,1,614.44,2.6,140,614.44
CUST1016,22,Female,Mumbai,53195.0,53.2,Grocery,2,889.33,3.8,10,1778.66
CUST1017,38,Female,Pune,62101.0,57.0,Electronics,3,12619.73,4.0,111,37859.19
CUST1018,24,Male,Lucknow,59812.0,40.9,Home & Kitchen,1,2066.12,3.6,6,2066.12
CUST1019,18,Female,Gwalior,53108.0,20.3,Fashion,3,890.15,5.0,13,2670.45
CUST1020,52,Female,Delhi,90814.0,38.8,Books,5,279.79,3.6,42,1398.95
